2025-06-28 14:20:27,209 - 192.168.29.149 \u2192 13.107.6.158 | Protocol: TCP | Ports: 58586 \u2192 443
2025-06-28 14:20:27,209 - 13.107.6.158 \u2192 192.168.29.149 | Protocol: TCP | Ports: 443 \u2192 58586
2025-06-28 14:20:28,337 - 192.168.29.1 \u2192 224.0.0.1 | Protocol: Other | 
2025-06-28 14:20:28,401 - 192.168.29.149 \u2192 224.0.0.22 | Protocol: Other | 
2025-06-28 14:20:34,329 - 192.168.29.1 \u2192 224.0.0.1 | Protocol: Other | 
2025-06-28 14:20:34,392 - 192.168.29.149 \u2192 224.0.0.22 | Protocol: Other | 
2025-06-28 14:20:40,335 - 192.168.29.1 \u2192 224.0.0.1 | Protocol: Other | 
2025-06-28 14:20:40,399 - 192.168.29.149 \u2192 224.0.0.22 | Protocol: Other | 
2025-06-28 14:20:41,926 - 192.168.29.149 \u2192 20.44.8.230 | Protocol: TCP | Ports: 57359 \u2192 8883
2025-06-28 14:20:42,147 - 20.44.8.230 \u2192 192.168.29.149 | Protocol: TCP | Ports: 8883 \u2192 57359
2025-06-28 14:20:42,194 - 192.168.29.149 \u2192 20.44.8.230 | Protocol: TCP | Ports: 57359 \u2192 8883
2025-06-28 14:20:46,339 - 192.168.29.1 \u2192 224.0.0.1 | Protocol: Other | 
2025-06-28 14:20:46,386 - 192.168.29.149 \u2192 224.0.0.22 | Protocol: Other | 
